com.bimoid.packet.PacketHandler	public static synchronized void parsePacket(com.bimoid.packet.Packet, HashMap<java.lang.Integer,com.bimoid.data.type.BLK>, com.bimoid.OBIMPConnection, java.lang.String, java.lang.String, java.net.Socket) throws java.io.IOException	user	B194	0/55
com.bimoid.OBIMP	public static void cliSearch(com.bimoid.OBIMPConnection, java.lang.Object, int) 	search	B2	0/37
com.bimoid.OBIMP	public static void setUpdInfo(com.bimoid.OBIMPConnection, com.bimoid.meta.UserInfo) 	upd_inf	B2	0/33
com.bimoid.packet.PacketHandler	public static synchronized void parsePacket(com.bimoid.packet.Packet, HashMap<java.lang.Integer,com.bimoid.data.type.BLK>, com.bimoid.OBIMPConnection, java.lang.String, java.lang.String, java.net.Socket) throws java.io.IOException	out_search	B465	0/32
com.bimoid.OBIMPConnection	public void connect() 	ud_details	B4	0/25
com.bimoid.OBIMPConnection	public void connect() 	set_status	B4	0/21
com.bimoid.OBIMPConnection	public void connect() 	pres_info	B4	0/18
com.bimoid.packet.PacketHandler	public static synchronized void parsePacket(com.bimoid.packet.Packet, HashMap<java.lang.Integer,com.bimoid.data.type.BLK>, com.bimoid.OBIMPConnection, java.lang.String, java.lang.String, java.net.Socket) throws java.io.IOException	login	B13	0/17
com.bimoid.packet.Packet	public byte[] asByteArray(int) 	data	B1	0/14
com.bimoid.packet.PacketHandler	public static synchronized void parsePacket(com.bimoid.packet.Packet, HashMap<java.lang.Integer,com.bimoid.data.type.BLK>, com.bimoid.OBIMPConnection, java.lang.String, java.lang.String, java.net.Socket) throws java.io.IOException	md5	B15	0/10
com.bimoid.packet.PacketHandler	public static synchronized void parsePacket(com.bimoid.packet.Packet, HashMap<java.lang.Integer,com.bimoid.data.type.BLK>, com.bimoid.OBIMPConnection, java.lang.String, java.lang.String, java.net.Socket) throws java.io.IOException	md5	B16	0/6
com.bimoid.packet.Packet	public void append(com.bimoid.data.DataStructure) 	d	B1	0/6
com.bimoid.packet.Packet	public void append(com.bimoid.data.DataStructure) 	data	B5	0/6
com.bimoid.OBIMP	public static synchronized void sendMsg(com.bimoid.OBIMPConnection, java.lang.String, java.lang.String) 	message	B2	0/6
com.bimoid.OBIMP	public static void setStatus(com.bimoid.OBIMPConnection, byte, byte, java.lang.String, java.lang.String) 	set_status	B2	0/6
com.bimoid.packet.PacketListener	public void run() 	p	B5	0/5
com.bimoid.packet.PacketListener	public void run() 	tlds	B5	0/5
com.bimoid.OBIMP	public static void addGroup(com.bimoid.OBIMPConnection, java.lang.String, int) 	add_group	B2	0/5
com.bimoid.OBIMP	public static void updateGroup(com.bimoid.OBIMPConnection, java.lang.String, int) 	upd_group	B2	0/5
com.bimoid.packet.PacketListener	private HashMap<java.lang.Integer,com.bimoid.data.type.BLK> parseData(byte[]) 	data	B7	0/4
com.bimoid.packet.PacketHandler	private static HashMap#RAW parseByteToCLItems(int, byte[]) 	data	B11	0/4
com.bimoid.packet.PacketHandler	private static HashMap#RAW parseByteToCLItems(int, byte[]) 	data	B12	0/3
com.bimoid.packet.PacketHandler	private static HashMap#RAW parseByteArrayTosTLDArray(byte[]) 	data	B6	0/4
com.bimoid.packet.PacketHandler	private static HashMap#RAW parseByteArrayTosTLDArray(byte[]) 	data	B7	0/3
com.bimoid.OBIMP	public static void cliAuthReply(com.bimoid.OBIMPConnection, java.lang.String, boolean) 	auth_reply	B2	0/4
com.bimoid.OBIMP	public static void cliAuthRequest(com.bimoid.OBIMPConnection, java.lang.String) 	auth_request	B2	0/4
com.bimoid.OBIMP	public static void cliAuthRevoke(com.bimoid.OBIMPConnection, java.lang.String) 	auth_request	B2	0/4
com.bimoid.packet.PacketHandler	public static synchronized void parsePacket(com.bimoid.packet.Packet, HashMap<java.lang.Integer,com.bimoid.data.type.BLK>, com.bimoid.OBIMPConnection, java.lang.String, java.lang.String, java.net.Socket) throws java.io.IOException	cl	B97	0/3
com.bimoid.OBIMP	public static void delGroup(com.bimoid.OBIMPConnection, int) 	del_group	B2	0/3
com.bimoid.OBIMP	public static void getCliInfo(com.bimoid.OBIMPConnection, java.lang.String) 	inf	B2	0/3
com.bimoid.OBIMPConnection	public void disconnect() 	con	B1	0/2
com.bimoid.OBIMP	public static void setUpdInfo(com.bimoid.OBIMPConnection, com.bimoid.meta.UserInfo) 	con	B1	1/34
com.bimoid.OBIMP	public static void setUpdInfo(com.bimoid.OBIMPConnection, com.bimoid.meta.UserInfo) 	con	B2	0/33
com.bimoid.OBIMP	public static void setUpdInfo(com.bimoid.OBIMPConnection, com.bimoid.meta.UserInfo) 	con	B4	0/29
com.bimoid.OBIMP	public static void setUpdInfo(com.bimoid.OBIMPConnection, com.bimoid.meta.UserInfo) 	con	B6	0/27
com.bimoid.OBIMP	public static void setUpdInfo(com.bimoid.OBIMPConnection, com.bimoid.meta.UserInfo) 	con	B8	0/25
com.bimoid.OBIMP	public static void setUpdInfo(com.bimoid.OBIMPConnection, com.bimoid.meta.UserInfo) 	con	B10	0/23
com.bimoid.OBIMP	public static void setUpdInfo(com.bimoid.OBIMPConnection, com.bimoid.meta.UserInfo) 	con	B12	0/21
